year,breau,area,residence,male,female,residence_average,proportion,density
91,全區,"1,220.95","537,659","918,152","874,451",3.33,105,"1,468.20"
92,全區,"1,220.95","554,589","932,046","890,029",3.29,104.72,"1,492.34"
93,全區,"1,220.95","573,817","945,959","907,070",3.23,104.29,"1,517.69"
94,全區,"1,220.95","590,044","958,212","922,104",3.19,103.92,"1,540.04"
95,全區,"1,220.95","605,144","971,969","939,192",3.16,103.49,"1,565.30"
96,全區,"1,220.95","619,870","981,486","953,482",3.12,102.94,"1,584.80"
97,全區,"1,220.95","637,071","991,492","967,194",3.07,102.51,"1,604.23"
98,全區,"1,220.95","654,106","999,065","979,717",3.03,101.97,"1,620.69"
99,全區,1220.95,"673,477","1,009,274","992,786",2.97,101.66,"1,639.75"
100,全區,1220.95,"686,273","1,013,618","999,687",2.93,101.39,"1,648.96"
101,全區,1220.95,"701,827","1,020,819","1,009,342",2.89,101.14,"1,662.77"
101,桃園分局,34.8,"150,281","202,276","211,212",2.75,95.77,"11,880.27"
101,大園分局,175.37,"47,078","75,677","69,691",3.09,108.59,828.91
101,大溪分局,439.9,"33,717","53,209","49,308",3.04,107.91,233.05
101,中壢分局,76.52,"133,288","187,410","188,807",2.82,99.26,"4,916.58"
101,楊梅分局,190.14,"66,554","104,140","98,460",3.04,105.77,"1,065.55"
101,平鎮分局,47.75,"69,270","105,330","104,222",3.03,101.06,"4,388.23"
101,龜山分局,72.02,"52,071","70,392","69,213",2.68,101.7,"1,938.48"
101,八德分局,33.71,"60,739","90,667","88,222",2.95,102.77,"5,306.53"
101,龍潭分局,75.23,"37,838","58,313","56,833",3.04,102.6,"1,530.50"
101,蘆竹分局,75.5,"50,991","73,405","73,374",2.88,100.04,"1,944.03"
102,全區,"1,220.95","716,582","1,026,657","1,017,366",2.85,100.91,"1,674.12"
103,全區,"1,220.95","733,004","1,032,625","1,025,703",2.81,100.67,"1,685.84"
102,桃園分局,34.8046,"153,199","203,112","212,302",2.71,95.67,"11,935.61"
102,大園分局,175.3732,"48,361","76,144","70,445",3.03,108.09,835.87
102,大溪分局,455.8981,"34,125","53,226","49,360",3.01,107.83,225.02
102,中壢分局,76.52,"136,030","188,475","190,443",2.79,98.97,"4,951.88"
102,楊梅分局,174.1395,"67,765","104,784","98,995",3.01,105.85,"1,170.21"
102,平鎮分局,47.7532,"70,874","105,878","105,268",2.98,100.58,"4,421.61"
102,龜山分局,72.0177,"53,100","70,758","69,751",2.65,101.44,"1,951.03"
102,八德分局,33.7111,"61,863","90,786","88,716",2.9,102.33,"5,324.72"
102,龍潭分局,75.2341,"38,515","58,606","57,122",3,102.6,"1,538.24"
102,蘆竹分局,75.5025,"52,750","74,888","74,964",2.84,99.9,"1,984.73"
103,桃園分局,34.8046,"156,369","203,922","213,444",2.67,95.54,"11,991.69"
103,大園分局,175.3732,"50,819","76,781","71,352",2.91,107.61,844.67
103,大溪分局,455.8981,"34,521","53,298","49,502",2.98,107.67,225.49
103,中壢分局,76.52,"138,536","189,330","192,119",2.75,98.55,"4,984.96"
103,楊梅分局,174.1395,"69,211","105,509","99,749",2.97,105.77,"1,178.70"
103,平鎮分局,47.7532,"72,169","106,310","106,018",2.94,100.28,"4,446.36"
103,龜山分局,72.0177,"54,466","71,432","70,566",2.61,101.23,"1,971.71"
103,八德分局,33.7111,"63,598","91,694","89,737",2.85,102.18,"5,381.94"
103,龍潭分局,75.2341,"39,242","58,712","57,499",2.96,102.11,"1,544.66"
103,蘆竹分局,75.5025,"54,073","75,637","75,717",2.8,99.89,"2,004.62"
